전원의  행진	promenade
야만인의	barbaric
야만인이 출진 전에 몸에 바르는 물감	war paint
야만적	(野蠻的) NULL
야만적인	barbaric, savage, uncivil
야만화	barbarization
야만화하다	barbarize
야망	(野望) NULL
야망의	out
야맹증	night blindness, nyctalopia, periodic ophthalmia
야무주다	to be hard and firm in actions and behavior
야무지다	stout, sturdy, strong
야무진	prickup
야무청초	(野無靑草) NULL
야물커	yarmulke
야바위	a double cross, a hoax, scam
야바위꾼	grifter, racketeer, con man
야박	(野薄) cold and heartless
야박하다	inhospitable
야박함	sophistication
야반	noon
야반 도주	flit
야반 도주	moonlight flitting
야반도주	(夜半逃走) NULL
야벳의	Japhetic
야불답백	(夜不踏白) NULL
야불폐문	(夜不閉門) NULL
야비	(野卑-) coarseness, inurbanity, meanness, smuttiness, uncourtliness
야비하다	churlish, coarse, graceless, lowminded, rude, sordid
야비함	raunchness, vulgarity
야빙	field ice
야사	(野史) the un-official version of history
야산	(野山) hill
야산	(野山) holt
야산대	(野山帶) NULL
야산지	(野山地) NULL
야삼경	ghostly hour
야상곡	nocturne
야생	(野生) ferity, wildness
야생능금	crab apple
야생동물	(野生動物) a wild animal
야생마	(野生馬-) a bronco, a wild horse
야생적	wildly
야생조	(野生鳥) a wild bird
야생화	(野生花) a wild flower
야선	fielder's choice
야성	(野性) wild
야성미	(野性美) NULL
야성적	(野性的) NULL
야세	(野勢) NULL
야속	(野俗) NULL
야수	(野手) a baseball player
야수	(野獸) a wild beast
야수 선택	fielder`s choice
야수성	brutal
야수적	(野獸的) NULL
야수적인	brutish
야수파	(野獸派) NULL
야수파주의	Fauvism
야습 참가자	moonlighter
야식	(夜食) farming
야심	(野心-) ambition, go-ahead
야심	(野心) deepness of the night
야심가	(野心家) a highflier, a social climber
야심만만	(野心滿滿) NULL
야심작	(野心作) NULL
야심적	(野心的) NULL
야심적인	ambitious, highflying
야아	heigh, hey, hi, wow
야아!	heyday, yah
야영	(野營-) a campout, an encampment
야영 전도 집회지	campground
야영객	(野營客) NULL
야영기	field colors
야영대	camp
야영자	encampment
야영장	(野營場) NULL
야영지	camp, campsite, encampment
야영천막	camp
야영하다	(野營) to camp out, to bivouac
야옹	Mewing, meowing
야옹야옹 우느 소리	caterwaul
야외	(野外) The fields, the outskirts
야외 광장	ozoner
야외 연구법	field method
야외 연구일	field day
야외 요리	cookout
야외 운동	field sports
야외 자연 연구회	field club
야외 전도사	field preacher
야외 집회	camp meeting
야외 채집	fieldwork
야외극	pageant
야외극장	(野外劇場) NULL
야외무대	(野外舞臺) NULL
야외숙	(野外宿) NULL
야외용 침대	camp bed
야외용 케이크	rout cake
야외운동	airing
야외음악당	band hell
야외의	alfresco
야외의	freeair
야외의 대 원형 경기장	circus
야외의 축제	fete champetre
야외촬영	location
야외취사장	field kitchen
야외취사장	fire place
야외학교	hedge school
야욕	(野慾) NULL
야운데	Yaounde
야웅	meow
야위다	macerate, thin, become thin
야위어 있음	leanness
야윈	lean, scrawny, thin
야윈 상태	leanness
야윈말	jade
야윈부분	lean
야유	(揶揄) making fun of sb
야유꾼	Nosy Parker
야유하다	(揶揄-) barrack, catcall, hoot
야유회	(野遊會) an outdoor picnic
야음	(夜陰) NULL
야이계일	(夜以繼日) NULL
야이망침	(夜而忘寢) NULL
야인	(野人) Neanderthal
야자	(椰子) palm
야자 과즙	coconut milk
야자 기름	palm oil
야자 돗자리	coconut matting
야자과의 일종	palmetto
야자기름	palm butter
야자껍질의 섬유	coir
야자수	(椰子樹) NULL
야자술	toddy
야자유	(椰子油) coconut oil
야자유	(椰子油) palm oil
야자유에서 빼낸	palmitic
야자주	palm wine
야자즙 조당	jaggery
야전	(野戰) NULL
야전 병원	a clearing hospital, a field hospital
야전 부대 소속 육군 위생병	aidman
야전군	field army
야전근무	field service
야전양식	field ration
야전용 긴급휴대식량	dration
야전용 방공 미사일	FIM
야전용 비스킷	dog biscuit
야전용 재킷	field jacket
야전포병	field artillery
야전포병 중대	field battery
야조	(野鳥) NULL
야차	(夜叉) a night train
야채	(野菜) Vegetables
야채  젤리 요리	macedoine
야채 샐러드	tossed green
야채 재배 농가	kitchen gardener
야채와 함께 기름으로 살짝 튀긴 후 오래 끓디다	braise
야초라	(野草羅) NULL
야취가 있는	countrified, -try-
야카우	yakow
야코비안	Jacobian
야쿠트 말	Yakut
야쿠트족	Yakut
야크	yak
야토병	rabbit fever
야토병	tularemia
야포	field artillery, field gun, fieldpiece
야포대	field battery
야포대	firing battery
야폭	(夜爆) NULL
야표	(野票) NULL
야프형 제본	yapp
야하다	(冶-) To be gaudy,garish
야하다	(射) mean, low, vulgar (in a sexual way)
야학	(夜學) evening class
야학당	(夜學堂) NULL
야한	flashy, garish, glitzy, zizzy
야함	glare, glitz, pazazz, razzmatazz
야합	(野合) collusion
야합 매매	matched order
야합적	(野合的) NULL
야행성	(夜行性) NULL
야행성 새	night raven
야회	(夜會) evening party
야회	(夜會) soiree
야회복	(夜會服) an evening dress, formal wear, an evening gown, a penguin suit
야회복으로	formal
야후속의	Yahoo
야훼	Yahweh
야훼 숭배자	Yahwist
야훼 신앙의	Yahwistic
야훼스트	Yahwist
야훼스트의	Yahwistic
야훼신앙	Yahwism
약	About, approximately
약	Medicine
약	Get angry,take offense
약 14.2그램티칼	tical
약 185	cable('s) length
약 수렴성의	subastringent
약 펌프	drug pump
약500입방 피트	waterinch
약간	(若干) Some, a little
약값	prescription charge
약강 오보격의 압운 대구	heroic couplet
약강격	iambus
약강격의	iambic
약강약격	amphibrach
약과	(藥果) NULL
약관	(弱冠) a man is twenty, 남자 나이 스무 살
약관	(約款) legal terms, a legal agreement
약국	(藥局) Pharmacy
약국방 약	officinal
약국법 주해서	dispensatory
약국의 처방에 의하지 않는	magistral
약능제강	(弱能制强) NULL
약다	sly, to be sly
약단지	gallipot
약대	(藥大-) asthenosphere
약도	(略圖) delineation, outline, sketch map
약독 세균 배양	anaculture
약동	(躍動) pulsebeat
약동하는	exciting
약동하는	throbbing
약동하다	(躍動) leap
약량 측정	dosimetry
약량계	dosimeter
약량학	posology
약력	(略歷) a bio, a vita (survey of one`s life)
약롱중물	(藥籠中物) NULL
약리	(藥理) changes resulting from use of a medicine
약리학	pharmacology
약마복중	(弱馬卜重) NULL
약맥	acrotism
약모	garrison cap
약물	(藥物) medicament, medication
약물 동력학	pharmacokinetics
약물 상호 작용	drug interaction
약물 요법	pharmacotherapy
약물 치료	medication
약물 치료 용구	medicator
약박	upbeat
약발	the visible signs of medicine working
약방	(藥房) drugstore
약방감초	(藥房甘草) NULL
약방문	(藥方文) NULL
약병	phial
약병	vial
약복	dishabille
약봉지	(藥封紙) NULL
약분	reduction of a fraction
약분하다	cancel
약불승의	(若不勝衣) NULL
약빠르게 처세하다	live by one's  wit  s
약빠르다	sharpwitted, shrewd, smart
약사	(藥師-) chemist
약사발	(藥沙鉢) NULL
약삭 빠르게	knowingly
약삭빠른	clever, smart
약산성	(弱酸性) NULL
약석지언	(藥石之言) NULL
약선	(藥膳) NULL
약설적인	recapitulative
약성	(藥性) NULL
약세	(弱勢) weakness of a trend
약세의	bearish, weakish
약세인	weak
약소	(略少) NULL
약소국	(弱小國) NULL
약속	(約束) A promise
약속 사항	convention
약속 어음	promissory note
약속 어음 발행인	promisor
약속날	day
약속된	engaged
약속어음	mercantile paper, a promissory note
약속이 없는	disengaged
약속자	promiser
약속자	promisor
약속하다	(約束-) To make a promise
약속하여	committed
약손가락	ring finger
약수	(藥水) Medicinal water, mineral water
약수	(約數) a divisor
약수터	a natural spring
약수통	(藥水桶) a container for mineral water
약술	(略述) NULL
약시	(弱視-) amblyopia
약식	(略式) informality, perhaps impromptu so not formal
약식	(藥食) Korean sticky rice (think of rice cakes)
약실	cartridge chamber
약알칼리성의	alkalescent
약약강격	anapest
약약강격의	anapestic
약어	(略語) abbreviation,  an abbreviated word 
약연	triturator
약오르게 하다	nettle
약오르게 하다	rub
약오르다	to chafe, to vex sb
약오름	annoyance
약오름	chafe
약올리다	chafe
약용	salep
약용 맥주	herb beer
약용 식물학의	medicobotanical
약용의	officinal
약육강식	(弱肉强食) fist law
약육강식의	weaktothewall
약으로 치료하다	medicate
약으로써	medicinally
약은 사람	clever dick
약은 체하는	clever-clever
약음기	(弱音器) a mute, a sordino
약의	antheral
약의 1회분	dose
약의 복용량적응량	dosage
약의 적량 초과	overdoes
약의 캡슐	cap
약이능강	(弱而能强) NULL
약인	consideration
약자	(弱者-) abbreviation
약장	negligee
약장의	undressed
약재	(藥材) NULL
약전	pharmacopoeia
약점	(弱點) A weak point, a vulnerable point
약정	(約定) contract, convention, stipulation, term
약정	(約定) in stocks, the stock trade itself
약정의	conventional
약제	(藥劑) drug, medicament
약제의	pharmaceutical
약제학사	pharmacist
약조	(約條) convention
약조금	earnest money
약종	medicinal stuff, materia medica
약종상	apothecary, pharmacy
약주	(藥酒) NULL
약지	(藥指) NULL
약진	(躍進) elan
약진	(躍進) upswing
약질	(弱質) NULL
약체	(弱體) NULL
약초	(藥草-) allheal
약초 재배원	physic garden
약초상	herbalist
약초원	herbary
약취	(略取) NULL
약층	thermocline
약칭	(略稱) NULL
약탈	(掠奪) despoliation, looting, pillage, plunder
약탈당	(掠奪當) NULL
약탈물	loot
약탈병	filibuster
약탈자	looter, marauder, robber, spoiler
약탈적	(掠奪的) NULL
약탈품	the spoils of a raid
약탈하다	(掠奪) despoil, loot, maraud, plunder, ransack, sack
약탕	(藥湯) tisane
약통	(藥桶) NULL
약포	cartridge
약포지	cartridge paper
약표	(略表) NULL
약품	(藥品) Medicines, medical supplies
약품 해설서	dispensatory
약하게	thinly
약하고 서투른 팀	cripple
약하다	(弱-) To be weak
약학	(藥學) pharmaceutics, pharmacy
약한	faint, feeble, watery, weak
약한.	floppy
약한.	frangible
약합부절	(若合符節) NULL
약해지다	(弱-) To become weak
약해지지 않는	unabated
약해진	subdued
약해진	unstrung
약협	shell
약협식포탄	fixed ammunition
약호	code
약혼	(約婚-) betrothal, engagement
약혼 반지	engagement ring
약혼녀	(約婚女) A girl who is engaged
약혼시키다	handfast
약혼식	(約婚式) NULL
약혼의	contracting
약혼자	(約婚者) A fiance, an engaged person
약혼중인	engaged
약혼하다	(約婚-) betroth
약혼하다	(約婚) contract
약혼하지 않은	unattached
약혼하지 않은	unengaged
약혼한	affianced, betrothed
약화	(弱化) becoming weak
약화	(藥禍) 약물 자체에 생기는 사고
약화된	watered down
약화시키는 것	solvent
약화시키다	depress, fatigue
약화하다	(弱化) to attenuate
약효	(藥效) the effects of medicine
약효과	medicinal effects
얀센의 신조	Jansenism
얀트라	yantra
얄궂게도	ironically
얄궂다	just an adj used to denigrate sb
얄랍	turpeth
얄랍의 뿌리	turpeth
얄밉다	Be offensive, mean
얄은 비단	alamo
얄타	Yalta
얄타회담	Yalta conference
얄팍하다	to be rather thin
얄팍한	sleazy
얇게	thinly
얇게 깎은	featheredged
얇게 깎은 쪽의 가장자리	featheredge
얇게 베는 사람	slicer
얇게 베다	slice
얇게 비치는	gauzy
얇게 써는 기계	slicer
얇게 썬 감자 튀김	potato chip
얇게 썬 감자 프라이	crisp
얇게 썬 양파와 함께 기름에 튀긴	lyonnaise
얇게 썬 훈제 쇠고기	chipped beef
얇게 썰어 튀기다	chip
얇게 저미는 식칼	slice
얇게 저민 고기	cutlet
얇게 하는 사람희석제제초하는사람	thinner
얇게하다	attenuate
얇게하다	thin
얇고 가벼운 캐시미어 모직	zephyr cloth
얇고 모양이 좋지 않은	lasque
얇고 보드라운 모슬린	mull
얇고 부서지기 쉬운	eggshell
얇고 좁은 조각	slat
얇다	To be thin
얌전빼는	niminypiminy, prim
얌전하게	modestly
얌전하게	quietly
얌전한	gentle, peaceable, quiet
얌전함	grace
얌체	selfish,shameless, interested in one`s self-interest only
얌치 없는	porky
양	Both, two
양	Miss ~
양	A sheep, ram
양	quantity,volume
양 결국	amount
양 끝이 닮은	doubleended
양 끝이 앞이 되는	doubleended
양 날개의 길이	wingspan
양 대학의 특별 자비생	gentlemancommoner
양 떼	fold
양 목장의 지배인	cove
양 박하	spearmint
양 방목장	sheep range
양 옆뱃전에 버틴 돛대줄	shroud
양 지키는 개	shepherd dog
양 할미꽃	pasqueflower
양가	(兩家) two houses
양가	(良家) a respected house
양가	(養家) a family that adopted a boy
양가성	(兩價性) NULL
양가적	(兩價的) NULL
양가죽	sheepskin
양가집 출신의 하사관	gentlemanranker
양각	relief
양각 무늬	embossment
양각기	compass
양각으로 넣다	chase
양각으로 새긴	embossed
양각의	raised
양각의	twolegged
양감	(量感) NULL
양갓집 사람	gentle
양갓집 사람들	gentlefolk(s)
양같은	ovine
양개음폐	(陽開陰閉) NULL
양계	(養鷄) raising chickens
양계업	(養鷄業) raising chickens
양계업자	poultryman
양계장	(養鷄場) chicken yard, fowlrun, hennery, poultryfarm
양고기	mutton
양고추	green pepper
양고추냉이	horseradish
양곡	(糧穀) NULL
양골담초속	genista
양골담초의	broomy
양공주	(洋公主) NULL
양과자	cake
양광	(陽光) NULL
양구슬냉이의 일종	madwort
양국	(兩國) Both countries
양국 공동 통치	dual control
양군	(兩軍) NULL
양궁	(洋弓) NULL
양궁난장	(良弓難張) NULL
양귀비	opium poppy, poppy
양귀비꽃과의	papaveraceous
양극	(兩極) the positive terminus of a battery
양극	(兩極) the 2 extremities
양극-금	plate
양극단	(兩極端) extreme
양극선	an anode ray, positive rays
양극성	polarity
양극액	anolyte
양극적	(兩極的) NULL
양극처리다다	anodize
양극판	positive plate
양극화	(兩極化) NULL
양금미옥	(良金美玉) NULL
양금사	aviary
양금신족	(量衾伸足) NULL
양금택목	(良禽擇木) NULL
양기	(陽氣) NULL
양기비과의식물	bloodroot
양기학	aerometry
양기호	quantifier
양끝에 구멍이 뚫린 강철봉	eyebar
양끝에선 익살 광대	cornerman
양끝이 가느다란 중치의 여송연	perfecto
양끝이 아래로 처진 코밑 수염	Fu Manchu mustache
양날 곡괭이	twibil
양날 도끼	double ax
양날 전부	twibil
양날의	doubleedged
양날의 단검	skean
양녀	(養女) foster daughter
양념	Spices and condiments
양념병	caster
양념병	cruet
양념병대	caster
양념병대	cruet
양념장	basting
양념치는 사람	seasoner
양념하지 않은	unseasoned
양념한	seasoned
양놈	foreign devil
양다리 걸치기	hedge
양다리 걸치다	straddle
양다리 모양의 소매	gigot
양다리모양의	legopmutton
양단	(洋緞) NULL
양단간	(兩端間) NULL
양단간의	makeorbreak
양담쟁이	virginia creeper
양담쟁이	woodbine
양당	(兩黨) NULL
양당의	bipartisan
양당제	(兩黨制) NULL
양대	(兩大) NULL
양대전간의	interwar
양도	(讓渡) conveyance, devolution, transference
양도분	(讓渡分) NULL
양도불가능	inalienability
양도성	(讓渡性) NULL
양도세	transfer tax
양도인	assignor, conveyer, -or, grantor, releasor
양도자	granter, transmitter
양도증서	(讓渡證書) a document declaring the conveyance of legal rights
양도하다	(讓渡-) to cede, convey, grant, relinquish, remit
양돈	(養豚) NULL
양돈업	(養豚業) NULL
양돈용 과실	pannage
양돈장	hoggery
양돈장	swinery
양동의	diversionary
양동이	pail
양동이가 달린 물방아	noria
양동작전	(陽動作戰) NULL
양두 기관차	doubleender
양두구육	(羊頭狗肉) NULL
양두색이	(兩豆塞耳) NULL
양두정치	diarchy
양두정치의	diarchial
양딱지 회중 시계	hunter
양딱총나무	elder
양딱총나무의 열매	elderberry
양딸기	strawberry
양력	(陽曆) The solar calendar
양력 그레고리력	New Style
양로 보험	encowment insurance
양로 연금	oldage pension
양로당	(養老黨) NULL
양로원	(養老院-) beadhouse
양론	(兩論) NULL
양륙	debarkation
양륙	disembarkation
양륙되지 않은	undischarged
양륙장	landingplace
양륙하다	disembark
양립성	compatibility
양립하다	(兩立) to make compatible/consistent
양막	amnion
양막이 있는	amniotic
양막조영법	amnighraphy
양막천자	amniocentesis
양말	(洋襪) A sock
양말 대님	garter
양말 대님	suspender
양말만 신고	in one's  stocking  s
양말목의 자수 장식	clock
양말벨트	garter belt
양면	(兩面) having two faces, two sides
양면성	(兩面性) outside one, inside two; ambilaterality
양면적	(兩面的) NULL
양모	sheep's hair
양모 모양의	lanate
양모 선별공	stapler
양모 중매인	stapler
양모로 덮인	lanate
양모제	hairrestorer
양모지	lanolin
양모학자	trichologist
양목	(楊木) NULL
양목	(洋木) NULL
양묘기	(揚錨機) NULL
양묘삭	catfall
양묘주	cat davit
양무용	(洋舞踊) NULL
양물	(洋物) NULL
양물푸레나무	ashen
양미간	(兩眉間) NULL
양미나리	parsley
양미리	lancefish
양민	(良民) NULL
양박쥐	noctule
양반	(兩班,兩班) a rich person in Chosun times
양반가	(兩班家) NULL
양반국	(兩班國) NULL
양반답게	gently
양반이경	(讓畔而耕) NULL
양반촌	(兩班村) NULL
양반층	(兩班層) NULL
양방	(洋方) NULL
양방	(兩方) NULL
양방풍 나물	parsnip
양방향	interactive
양배추	(洋-) Cabbage
양배추 데치는 그물	cabbage net
양배추 샐러드	coleslaw
양배추 샐러드	slaw
양배추 수프	kale
양배추 처럼 결구하다	cabbage
양별꽃	spurry
양병설	(養兵說) ~~
양보	(讓步) concession,compromise
양보적인	concessive
양보하다	(讓步-) To make a concession, recede
양복	(洋服) Western European style clothing
양복감	dress goods
양복바지	inexpressible
양복업계	rag trade
양복업자	rag trader
양복장	clothespress
양복장이	tailor
양복점	(洋服店) NULL
양복지	suiting
양볼락과의	scorpaenid
양볼록의	biconvex
양봉	(養蜂-) apiculture, beekeeping
양봉가	(養蜂家-) an apiarist, a beekeeper
양봉연비	(兩鳳連飛) NULL
양봉장	apiary, a beehouse
양부	fostetr father
양부모	adopter
양부모	fosterer
양분	(兩分) to divide in half
양분	(養分) nutritional ingredients
양분되다	dichotomous, dimidiate, split into 2
양분법	(兩分法) NULL
양분화	(兩分化) NULL
양비대담	(攘臂大談) NULL
양비들기	rock pigeon
양비론	(兩非論) NULL
양사	sheepcote
양사주석	(揚沙走石) NULL
양산	(量産) mass production
양산	(陽傘) parasol, sunshade
양산의 고리쇠	runner
양산하다	(量産) massproduce
양상	(樣相) phase, appearance, aspect
양상군자	(梁上君子) Lettuce
양상도회	(梁上塗灰) NULL
양상추	(洋-) Lettuce
양생	(養生) cure
양생법	(養生法) regimen
양생송사	(養生送死) NULL
양생하다	(養生) cure
양서	(兩棲) an amphibian (an animal that lives on land an in the water)
양서	(良書) a good book
양서대과의 바다 물고기	tonguefish
양서류	(兩棲類-) Amphibia, Batrachia
양서류학	(兩棲類學) amphibiology
양성	(養成) cultivation, nurturing
양성	(兩性) the opposite sexes
양성	(陽性) a positive nature
양성교	bisexuality
양성동물	a hermaphrodite
양성소	(養成所) a nursery, training school
양성애	ambisexual, bisexual
양성애자	a bisexual
양성자	(陽性子) cultivator
양성하다	(養成--) to educate, nurture
양성화	(陽性化) hermaphrodite
양소매책상	bureau
양속	(良俗) NULL
양손으로 매달리며 건너가다	brachiate
양손이 있는	twohanded
양손잡이의	bothhanded
양수	(揚水,羊水,讓受,陽數) dual number
양수	(揚水,羊水,讓受,陽數) acquisition by transfer, transferring sth to sb
양수	(揚水,羊水,讓受,陽數) amniotic fluid
양수	(揚水,羊水,讓受,陽數) positive, positive number
양수	(揚水,羊水,讓受,陽數) sth for moving water up (pump, facilities)
양수 발전 장치	pumped storage
양수 잡이	ambidexter
양수겸장	(兩手兼將) NULL
양수경	amnioscope
양수경 검사	amnioscopy
양수선	tuberose
양수인	assignee, endorsee, grantee, transferee
양수잡이	ambidexterity
양수잡이의	ambidextrous
양수집병	(兩手執餠) NULL
양수차	waterwheel
양수척	(楊水尺) NULL
양수청풍	(兩袖淸風) NULL
양수체	amboceptor
양순음	bilabial
양순음위	(陽順陰違) NULL
양순하게	conformable
양순한	facile
양시론	(兩是論) NULL
양시쌍비	(兩是雙非) NULL
양식	(洋食) raising,farming,culture
양식	(樣式) A mode, a style, an order, amodality
양식	(良識) common sense, good sence
양식	(洋食) bread, crust, Western food
양식	(洋式) Western style culture
양식	(養殖) cultivation, aquaculture, culture, raising
양식	(糧食) rations, food, provisions
양식당	(洋食堂) NULL
양식론	(樣式論) NULL
양식업	(養殖業) NULL
양식장	(養殖場-) aquafarm, a breeding ground
양식적	(良識的) NULL
양식화	(樣式化) NULL
양식화하다	(樣式化) conventionalize
양심	(良心) Conscience
양심선언	(良心宣言) NULL
양심선언자	(良心宣言者) NULL
양심수	(良心囚) imprisoned for your thoughts, a prisoner of conscience
양심적	(良心的) conscientious, related to the conscience
양아들	an adopted son/boy
양아욱	geranium
양안	(量案) NULL
양압	(兩壓) NULL
양약	(良藥) good medicine
양약	(洋藥) Western medicine
양약고구	(良藥苦口) bitter medicine is good for you
양약고어구	(良藥苦於口) bitter medicine is good for you
양양격	spondee
양어	aquaculture, fish culture, fishfarming
양어기	fish globe
양어못	piscina
양어법	pisciculture
양어장	(養魚場) an aquafarm, a fish farm
양어지	aquarium
양여	cession
양여	concession
양여된 것	concession
양여의	concessionary
양여의	concessive
양옆	(兩-) On both sides
양오얏	plum
양옥	(洋屋) a Western-style house
양옥집	(洋屋) a Western-style house
양요의	concavoconcave
양용형	(兩用型) NULL
양우리	cote
양우리	fold
양웅불구립	(兩雄不俱立) NULL
양원 협의회	joint committee
양원제의	bicameral
양위자	abdicator
양위하다	demise
양육	bringing-up, parenting, bringing up children
양육 의존	succorance
양육권	(養育權-) asylum
양육받는	being nursed
양육원	charity
양육원수용자	beadsman
양육원의 아동	charity chile
양육자	(養育者) rearer
양육하는	nursing
양육하는 사람	fosterer
양육하다	foster, nurture
양은	(洋銀) German silver
양의	ovine
양의	positive
양의 간장병	rot
양의 갈비 고기	muttonchop
양의 눈 언저리 털 깎기	wigging
양의 다리 고기	gigot
양의 머리	jemmy
양의 적리	scrapie
양이	(洋夷) NULL
양이온	cations, positive ions
양이욱속	pelagium
양인	(良人) NULL
양일	(兩日) for 2 days
양입계출	(量入計出) NULL
양자	(養子) adoptee, foster child, fosterling, an adopted son
양자	(量子) a quantum
양자	(陽子) proton
양자	(兩者) both sides
양자간	bilateral
양자론	(量子論) quantum theory
양자론	(量子論-) adoptionism
양자수	quantum number
양자식지친력	(養子息知親力) NULL
양자역학	(量子力學) nuclear study
양자임	fosterage
양자적	(兩者的) NULL
양자택일	either-or, must choose one
양자택일	(兩者擇一) to choose one of the two. . 
양자택일론	(兩者擇一論) NULL
양자택일적	(兩者擇一的) NULL
양자화	quantization
양잠	(養蠶) NULL
양잠가	sericulturist
양잠소	cocoonery
양잠업	sericulture
양장	(洋裝) NULL
양장점	(洋裝店) dressmaker
양장점의 모형 인형	paris doll
양재	(禳災,量材) couture
양재사	dressmaker, a tailor
양재업	dressmaking
양적	(量的) quantitative
양적인	quantitative
양전기	positive electricity
양전기	positve electricity
양전기의	electropositive
양전자	(陽電子) positron
양전자 방사 단층 촬영	PET
양전하	(陽電荷) positive charge
양조	(釀造-) brew, brewing
양조량	brewing
양조법	zymotechnics
양조업자	beerage
양조자	brewster
양조장	(釀造場-) brewer
양조장	(釀造場-) brewery
양조주	(釀造酒) brewage (a drink)
양조하다	(釀造-) brew
양좌	(羊座) NULL
양주	(洋酒) Foreign wine/liquors
양지	(陽地) sunniness, sunshine
양지	(諒知) understanding,appreciation
양지꽃	a cinquefoil
양지바른	sunny
양지양능	(良知良能) NULL
양지쪽	sun
양진	prurigo
양진에 걸린	pruriginous
양진의	pruriginous
양질	(良質) quality
양질의	superior
양질호피	(羊質虎皮) NULL
양질화	(良質化) NULL
양쪽	(兩-) Both sides
양쪽 끝 선보다도 중앙 부분이 나온	breakfront
양쪽 보다 중앙이 더 놓은 론 볼링용 잔디밭	crown green
양쪽에 거는 사람	hedger
양쪽에 걸다	hedge
양쪽에 듣는	bothsided
양쪽에 마주 앉는 좌석이 있는 버스	carryall
양쪽에서 서로 경사진	synclinal
양쪽에서 잡아당기다	doublebank
양쪽으로 여닫는 문	double door
양쪽의고무 천	elastic sides
양차	(兩次) NULL
양천	(養天) NULL
양천제	(良賤制) NULL
양철	(洋鐵) tin
양철	(洋鐵) tinpate
양철	(洋鐵) tin plate
양철 깡통	tin
양철 세공품	tinware
양철공	whitesmith
양철깡통	tin can
양철장이	tinman, tinner, tinsmith
양철통	can
양청 구역	service area
양체의	bicorporal
양초	a candle, a wax candle
양축식 경토기	lister
양춘가절	(陽春佳節) NULL
양충	chigoe
양충병	trombidiasis
양취란화	cowslip
양측	(兩側) NULL
양측 폐렴	double pneumonia
양측이 있는	bilateral
양치 모양의	ferny
양치 식물	pteridophyte
양치 식물의 덤불	fernbracken
양치기	flockmaster
양치기 개	sheep dog
양치기의지팡이	crook
양치꼴의	filiciform
양치는 사람	sheepherder
양치는 사람	shepherd
양치는 여자	shepherdess
양치는사람의	bucolic
양치류	fern
양치류의 화석	filicite
양치식물의 재배지	fernery
양치의 무리	brake
양치의 포자	fern seed
양치질	gargle
양치질 약	mouthwash
양치질하다	gargle
양치학	pteridology
양친	(兩親) your parents, mother and father
양키	Yankeedom
양키 기질	Yankeeism
양키 나라	Yankeedom
양키노래	YankeeDoodle
양키놈	damyankee
양키식의 독선적 방법	Yanquiology
양키연구	Yanquiology
양키화하다	Yankeefy
양탄자	carpet
양탄자 누르개	carpet rod
양탄자 무늬로 꽃밭 만들기	carpet bedding
양탄자 무늬처럼 심은 꽃밭	carpet bed
양탄자 짜는 실	carpet yarn
양탄자 청소기	carpet sweeper
양탄자밑에 까는 펠트 천	underfelt
양탄자재료	carpeting
양태	(樣態) NULL
양태가 넓은모자	broadbrim
양털	fleece, pile, wool
양털기름	yolk
양털부대	woolsack
양테	brim
양테가넓은모자	broadbrim
양토	loam
양토업	rabbitry
양토장	warren
양토장 주인	warrener
양톱풀	tansy
양파	(洋-) An onion
양파 등이 든 생선 요리	matelote
양파 맛이 나는	oniony
양파냄새	onion
양판	poppet
양판의	bivalved
양판의	bivalvular
양편	(兩便) NULL
양풀푸레나무	ash
양품류	hosiery
양품업	hosiery
양품점	(洋品店) NULL
양피	lambskin
양피상	fellmonger
양피지	(羊皮紙) sheepskin
양해	(諒解) understanding
양해각서	(諒解覺書) MOU memorandum of understanding
양해되다	to be understood
양향 성격	ambiversion
양향성 성격자	ambivert
양호	(養護) NULL
양호	(良好) good, beneficial
양호상태	apple pieorder
양호상투	(兩虎相鬪) NULL
양호실	(養護室) dispensary
양호업	fox farming
양호유환	(養虎遺患) you raise a tiger 호랑이를 길러서  but the tiger tries to bite you/spites you 근심을 끼치다
양호함	fitness
양홍	kermes
양홍색	carmine
양화	(洋靴,良貨,量化) good money
양화	(洋靴,良貨,量化) positive
양화	(洋靴,良貨,量化) quantification
양화기	(揚貨機) NULL
양회	cement
양회귀선 사이의	intertropical
양흥	grenadine
얕게 하다	shallow
얕다	To be shallow, superficial
얕보고	lightly
얕보는	disparaging
얕보다	belittle, depreciate, disparage, make  little   of, slight
얕보아	depreciatingly
얕보아	slightingly
얕봄	belittlement
얕아지다	to fill up
얕은	shallow
얕은	skindeep
얕은 돋을새김	anaglyph
얕은 돋을새김	low relief
얕은 물속에 들어가다	waddle
얕은 바다의	neritic
얕은 상처	scotch
얕은 점토질 웅덩이	claypan
얕은 접시	tray
얕은 홈이 있는	glenoid
얕은상처	flesh wound
얕잡다	to denigrate or look down on sb or their abilities
얘	Yes.
얘	Sonny, you there
얘기	Story
얘기 책	storybook
얘기하다	To tell a story
얘야	sonny
어	Oh, well, why
어간	the stem of a word
어간	(於間) spacing (time,space)
어감	(語感) the feeling of a word
어개	seafood
어거하기 쉬운	flexible
어거하기 힘든	wild
어계와 그것에서 파생된 모든 방언	linguistic stock
어교	fish glue
어구	(語句) locution, phraseology
어구	(漁具) fishing gear
어구대	(漁具代) NULL
어구점	(漁具店) NULL
어군	(語群,魚群) shoal
어군 탐지기	fishfinder
